243, UPM, 3.042031, 2.460678e+004
244, ENL, 5.057416, 2.492752e+004
245, MC, 3.776405, 2.498055e+004
246, RUK, 5.184384, 2.494512e+004
247, ABM, 2.703408, 2.544402e+004
248, MC, 3.761751, 2.549793e+004
249, COMS, 2.356484, 2.600789e+004
250, MC, 3.727153, 2.590019e+004
251, COMS, 2.445648, 2.641820e+004
252, MC, 3.783132, 2.694656e+004
253, COMS, 2.551813, 2.748549e+004
254, COMS, 2.551813, 2.653386e+004
255, SYT, 4.007164, 2.687697e+004
256, UMPQ, 3.802459, 2.697709e+004
257, UMPQ, 3.790403, 2.699137e+004
258, COMS, 2.523714, 2.753120e+004
259, UMPQ, 3.810033, 2.808182e+004
260, UMPQ, 3.810033, 2.858302e+004
261, UMPQ, 3.880975, 2.859732e+004
262, UMPQ, 3.909592, 2.916926e+004
263, UMPQ, 3.909592, 2.906748e+004
264, PSO, 4.205243, 2.964882e+004
265, UMPQ, 3.933358, 2.957463e+004
266, MC, 3.665107, 2.957463e+004
267, COMS, 2.712656, 2.950891e+004
268, UMPQ, 3.745401, 2.922532e+004
269, COMS, 2.716059, 2.902142e+004
270, ANAT, 3.165810, 2.889794e+004
271, UMPQ, 3.784962, 2.803203e+004
272, ANAT, 3.016614, 2.836880e+004
273, COMS, 3.005413, 2.893618e+004
274, COMS, 3.155519, 2.951490e+004
275, SYT, 4.172859, 2.961411e+004
276, UPM, 3.673554, 2.940612e+004
277, RUK, 5.395588, 2.936901e+004
278, COMS, 3.642372, 2.908864e+004
279, COMS, 3.536863, 2.967041e+004
280, COMS, 3.536863, 3.026382e+004
281, COMS, 3.697602, 3.086910e+004
282, COMS, 3.834023, 3.107957e+004
283, SYT, 4.185593, 3.110659e+004
284, COMS, 3.710269, 3.089546e+004
285, COMS, 3.612830, 3.047607e+004
286, COMS, 3.493909, 2.937036e+004
287, COMS, 3.301123, 2.995777e+004
288, SYT, 3.921614, 2.950840e+004
289, COMS, 3.687731, 3.009857e+004
290, COMS, 3.795743, 2.926250e+004
291, COMS, 3.617947, 2.885035e+004
292, VCLK, 3.796743, 2.803639e+004
293, COMS, 3.541024, 2.790320e+004
294, COMS, 3.551002, 2.846127e+004
295, COMS, 3.642485, 2.903049e+004
296, VCLK, 4.074082, 2.961110e+004
297, COMS, 3.854441, 3.020332e+004
298, COMS, 3.854441, 3.042705e+004
299, COMS, 3.806855, 3.103559e+004
300, COMS, 3.806855, 3.165630e+004
301, COMS, 3.806855, 3.228943e+004
302, COMS, 3.806855, 3.183677e+004
303, COMS, 3.771918, 3.247351e+004
304, COMS, 3.771918, 3.312298e+004
305, COMS, 3.771918, 3.243132e+004
306, COMS, 3.889868, 3.307994e+004
307, COMS, 3.889868, 3.374154e+004
308, COMS, 4.139575, 3.441637e+004
309, COMS, 4.139575, 3.510470e+004
310, COMS, 4.287661, 3.385359e+004
311, COMS, 4.053775, 3.430198e+004
312, COMS, 4.026929, 3.370151e+004
313, COMS, 3.988866, 3.437554e+004
314, COMS, 3.988866, 3.506305e+004
315, VCLK, 4.673866, 3.466118e+004
316, COMS, 4.043528, 3.433357e+004
317, COMS, 3.926774, 3.349143e+004
318, COMS, 3.949376, 3.416125e+004
319, COMS, 4.082075, 3.484448e+004
320, COMS, 4.082075, 3.350431e+004
321, VCLK, 4.722344, 3.417439e+004
322, COMS, 3.848110, 3.391151e+004
323, COMS, 3.743637, 3.391151e+004
324, COMS, 3.698220, 3.458974e+004
325, VCLK, 4.881498, 3.528154e+004
326, VCLK, 5.016285, 3.598717e+004
327, VCLK, 5.016285, 3.670691e+004
328, VCLK, 5.116611, 3.744105e+004
329, VCLK, 5.298927, 3.818987e+004
330, COMS, 3.830735, 3.740758e+004
331, VCLK, 5.364114, 3.815574e+004
332, VCLK, 5.471396, 3.779321e+004
333, VCLK, 5.399339, 3.653344e+004
334, VCLK, 5.258312, 3.726411e+004
335, RUK, 5.454913, 3.678351e+004
336, VCLK, 5.383566, 3.751918e+004
337, VCLK, 5.383566, 3.826956e+004
338, MT, 3.993257, 3.903495e+004
339, UPM, 4.030999, 3.906080e+004
340, UPM, 4.028368, 3.929674e+004
341, COMS, 3.823842, 3.900293e+004
342, VCLK, 5.336447, 3.978299e+004
343, VCLK, 5.622227, 3.951718e+004
344, COMS, 4.247673, 4.030752e+004
345, VCLK, 5.529911, 4.111367e+004
346, VCLK, 5.529911, 4.193595e+004
347, VCLK, 5.529911, 4.277467e+004
348, COMS, 4.262346, 4.055261e+004
349, MRVL, 4.164861, 4.136366e+004
350, MRVL, 4.456939, 4.219093e+004
351, MRVL, 4.456939, 4.303475e+004
352, MRVL, 4.456939, 4.389544e+004
353, MRVL, 4.456939, 4.400654e+004
354, VCLK, 6.100402, 4.488667e+004
355, VCLK, 6.202207, 4.578440e+004
356, VCLK, 6.454054, 4.670009e+004
357, MRVL, 4.380607, 4.763409e+004
358, VCLK, 6.538504, 4.858677e+004
359, VCLK, 6.784262, 4.491843e+004
360, VCLK, 6.149063, 4.076631e+004
361, VCLK, 5.599973, 4.158164e+004
362, VCLK, 5.599973, 4.150534e+004
363, MRVL, 4.681484, 4.147923e+004
364, VCLK, 5.480096, 4.230881e+004
365, MRVL, 4.829497, 4.315499e+004
366, VCLK, 5.480096, 4.401809e+004
367, VCLK, 5.715917, 4.489845e+004
368, VCLK, 5.715917, 4.369833e+004
369, VCLK, 5.454052, 4.457230e+004
370, VCLK, 5.454052, 4.546375e+004
371, VCLK, 5.454052, 4.508677e+004
372, VCLK, 5.302772, 4.295726e+004
373, VCLK, 4.953250, 4.381641e+004
374, MRVL, 4.802689, 4.310468e+004
375, MRVL, 4.632036, 4.324316e+004
376, VCLK, 5.070621, 4.410802e+004
377, MRVL, 4.555801, 4.499018e+004
378, VCLK, 5.250499, 4.588999e+004
379, VCLK, 5.250499, 4.431211e+004
380, MRVL, 4.971474, 4.519835e+004
381, MRVL, 4.971474, 4.505035e+004
382, VCLK, 5.171296, 4.595135e+004
383, VCLK, 5.171296, 4.687038e+004
384, VCLK, 5.171296, 4.667427e+004
385, VCLK, 5.048685, 4.699840e+004
386, VCLK, 4.984064, 4.793836e+004
387, VCLK, 5.083745, 4.208736e+004
388, VCLK, 4.536130, 4.128949e+004
389, VCLK, 4.362879, 4.062353e+004
390, MRVL, 3.755634, 4.011632e+004
391, MRVL, 3.636021, 4.054755e+004
392, VCLK, 4.488739, 4.135850e+004
393, VCLK, 4.488739, 4.167623e+004
394, VCLK, 4.451992, 3.999902e+004
395, VCLK, 4.341466, 4.055880e+004
396, VCLK, 4.315906, 3.923568e+004
397, VCLK, 4.241121, 4.002039e+004
398, VCLK, 4.503236, 3.869619e+004
399, VCLK, 4.407768, 3.820387e+004
400, VCLK, 4.266362, 3.602079e+004
401, VCLK, 3.974872, 3.674121e+004
402, VCLK, 4.054369, 3.620377e+004
403, VCLK, 4.027412, 3.465701e+004
404, MC, 4.102665, 3.465701e+004
405, VCLK, 3.779751, 3.438196e+004
406, MC, 4.112418, 3.415101e+004
407, COMS, 2.969607, 3.349845e+004
408, ABM, 4.251094, 3.416842e+004
409, HLEX, 3.651460, 3.358147e+004
410, VCLK, 3.825320, 3.425310e+004
411, VCLK, 3.825320, 3.387204e+004
412, VCLK, 3.708592, 3.454948e+004
413, OPSW, 3.893759, 3.316750e+004
414, OPSW, 3.828081, 3.095634e+004
415, VCLK, 3.753697, 3.157546e+004
416, VCLK, 3.828771, 3.220697e+004
417, OPSW, 4.038316, 3.285111e+004
418, ENL, 4.767350, 3.298423e+004
419, OPSW, 4.275503, 3.364392e+004
420, VCLK, 3.953125, 3.287845e+004
421, OPSW, 4.275503, 3.353602e+004
422, ABM, 5.128618, 3.376818e+004
423, OPSW, 4.672514, 3.444354e+004
424, OPSW, 4.672514, 3.513241e+004
425, OPSW, 4.672514, 3.372511e+004
426, VCLK, 3.998960, 3.439961e+004
427, VCLK, 4.174689, 3.508760e+004
428, VCLK, 4.298544, 3.347911e+004
429, ABM, 4.895197, 3.414869e+004
430, OPSW, 4.388039, 3.483166e+004
431, OPSW, 4.388039, 3.552830e+004
432, VCLK, 4.495864, 3.574362e+004
433, OPSW, 4.558488, 3.645849e+004
434, ABM, 4.635921, 3.559920e+004
435, VCLK, 4.677559, 3.331767e+004
436, OPSW, 4.326421, 3.183341e+004
437, VCLK, 4.291938, 3.247008e+004
438, VCLK, 4.291938, 3.311948e+004
439, VCLK, 4.291938, 3.378187e+004
440, VCLK, 4.291938, 3.374189e+004
441, VCLK, 4.202802, 3.366174e+004
442, VCLK, 4.232374, 3.433498e+004
443, VCLK, 4.232374, 3.502168e+004
444, VCLK, 4.317022, 3.572211e+004
445, VCLK, 4.317022, 3.520279e+004
446, VCLK, 4.294396, 3.425921e+004
447, VCLK, 4.097342, 3.364420e+004
448, VCLK, 4.023788, 3.346732e+004
449, VCLK, 3.924150, 3.413666e+004
450, VCLK, 3.924150, 3.125101e+004
451, ONXX, 3.611461, 3.187603e+004
452, ONXX, 3.847866, 3.136795e+004
453, BRG, 5.063776, 3.199531e+004
454, UMPQ, 3.384873, 3.129279e+004
455, RSTI, 3.850209, 3.054067e+004
456, ONXX, 3.159180, 3.115149e+004
457, RSTI, 3.757670, 3.177452e+004
458, RSTI, 3.757670, 3.241001e+004
459, UMPQ, 3.241848, 3.271576e+004
460, RSTI, 3.865723, 3.337008e+004
461, ABM, 5.154660, 3.403748e+004
462, RSTI, 3.943038, 3.227106e+004
463, ONXX, 3.659999, 3.291648e+004
464, SYT, 4.260040, 3.294719e+004
465, ABM, 5.235155, 3.360613e+004
466, RSTI, 3.789855, 3.427826e+004
467, RSTI, 3.865652, 3.496382e+004
468, RSTI, 3.865652, 3.566310e+004
469, RSTI, 3.948772, 3.637636e+004
470, RSTI, 3.948772, 3.710389e+004
471, RSTI, 3.948772, 3.784596e+004
472, RSTI, 3.948772, 3.860288e+004
473, RSTI, 3.949285, 3.669086e+004
474, RSTI, 3.680073, 3.742468e+004
475, RSTI, 3.680073, 3.817317e+004
476, RSTI, 3.680073, 3.893663e+004
477, RSTI, 3.680073, 3.808474e+004
478, ONNN, 3.748346, 3.884643e+004
479, ONNN, 3.748346, 3.962336e+004
480, ONNN, 3.804842, 4.041583e+004
481, ONNN, 3.977480, 3.998976e+004
482, ONNN, 3.858381, 4.078955e+004
483, ONNN, 4.307239, 4.160534e+004
484, ONNN, 4.307239, 4.243745e+004
485, ONNN, 4.307239, 4.093258e+004
486, ONNN, 4.073040, 3.851016e+004
487, ONNN, 3.756858, 3.928037e+004
488, ONNN, 3.756858, 4.006597e+004
489, ONNN, 3.756858, 4.020319e+004
490, ONNN, 3.819987, 4.100725e+004
491, ONNN, 3.819987, 3.877388e+004
492, ONNN, 4.171207, 3.547397e+004
493, ONNN, 4.009786, 3.618345e+004
494, ONNN, 4.009786, 3.533540e+004
495, ONNN, 3.839027, 3.604211e+004
496, ONNN, 3.839027, 3.676295e+004
497, ONNN, 3.839027, 3.641059e+004
498, ONXX, 3.020063, 3.713880e+004
499, ABM, 4.976331, 3.788158e+004
500, ABM, 4.976331, 3.758380e+004
501, PETM, 2.636110, 3.766550e+004
502, ONNN, 3.717321, 3.743336e+004
503, ONNN, 3.823285, 3.818203e+004
504, ONNN, 3.823285, 3.690348e+004
505, ONNN, 3.622804, 3.764155e+004
506, ONNN, 3.622804, 3.724828e+004
507, ONNN, 3.514661, 3.799325e+004
508, ONNN, 3.514661, 3.875311e+004
509, ONNN, 3.514661, 3.952817e+004
510, ONNN, 3.772227, 3.905946e+004
511, ONNN, 3.654409, 3.777461e+004
512, ADO, 3.696730, 3.853010e+004
513, CASY, 3.712467, 3.762545e+004
514, ADO, 3.721051, 3.728868e+004
515, ABM, 5.313698, 3.724863e+004
516, ADO, 3.668810, 3.799360e+004
517, ADO, 3.668810, 3.781540e+004
518, ONNN, 3.917188, 3.664886e+004
519, BRG, 3.791415, 3.667652e+004
520, ONNN, 3.721911, 3.576797e+004
521, ONNN, 3.837975, 3.648333e+004
522, ONNN, 3.837975, 3.527045e+004
523, ONNN, 3.741827, 3.405423e+004
524, ONNN, 3.739563, 3.473532e+004
525, ONNN, 3.739563, 3.543002e+004
526, ONNN, 3.739563, 3.613862e+004
527, ONNN, 3.739563, 3.598484e+004
528, ONNN, 3.650637, 3.670454e+004
529, ONNN, 3.883235, 3.743863e+004
530, ONNN, 3.883235, 3.773615e+004
531, ONNN, 3.837348, 3.849088e+004
532, ONNN, 3.837348, 3.926070e+004
533, ONNN, 3.914095, 3.810744e+004
534, ONNN, 3.724629, 3.886959e+004
535, ONNN, 3.724629, 3.964698e+004
536, BRG, 3.803382, 3.953624e+004
537, ONNN, 3.458936, 4.032696e+004
538, ONNN, 3.458936, 4.113350e+004
539, ONNN, 3.605941, 4.195617e+004
540, ONNN, 3.605941, 4.279530e+004
541, ONNN, 3.605941, 4.365120e+004
542, ONNN, 3.767769, 4.452423e+004
543, ONNN, 3.767769, 4.541471e+004
544, ONNN, 3.767769, 4.489270e+004
545, ONNN, 3.651432, 4.457619e+004
546, BRG, 3.751737, 4.429044e+004
547, ONNN, 3.785645, 4.517625e+004
548, ONNN, 3.785645, 4.241548e+004
549, ONNN, 3.484608, 4.170939e+004
550, ONNN, 3.359412, 4.254358e+004
551, ONNN, 3.359412, 4.153695e+004
552, ONNN, 3.215611, 4.236769e+004
553, ONNN, 3.215611, 4.321504e+004
554, ONNN, 3.215611, 4.407934e+004
555, ONNN, 3.538185, 4.496093e+004
556, ONNN, 3.538185, 4.466897e+004
557, ONNN, 3.446284, 4.356532e+004
558, ONNN, 3.418104, 4.175496e+004
559, ONNN, 3.211828, 4.259006e+004
560, TSN, 3.214426, 4.287447e+004
561, ABM, 6.295178, 4.373196e+004
562, ONNN, 3.830928, 4.460660e+004
563, ONNN, 3.830928, 4.549873e+004
564, ONNN, 3.830928, 4.640871e+004
565, ONNN, 3.830928, 4.733688e+004
566, ONNN, 3.907547, 4.646831e+004
567, ONNN, 3.760636, 4.616460e+004
568, ONNN, 3.662801, 4.708789e+004
569, ONNN, 3.662801, 4.563531e+004
570, ONNN, 3.480205, 4.484535e+004
571, ONNN, 3.419962, 4.460425e+004
572, ONNN, 3.334878, 4.520701e+004
573, ONNN, 3.379944, 4.382984e+004
574, ONNN, 3.212724, 4.470644e+004
575, ONNN, 3.212724, 4.409402e+004
576, ONNN, 3.106582, 4.156555e+004
577, ONNN, 2.871022, 4.112202e+004
578, SSL, 2.978402, 4.194446e+004
579, SSL, 2.978402, 4.136153e+004
580, SSL, 2.879421, 4.218876e+004
581, TKP, 3.398540, 4.269039e+004
582, SSL, 2.898353, 4.286092e+004
583, ONNN, 2.870406, 4.371814e+004
584, ONNN, 2.870406, 4.130848e+004
585, ONXX, 2.855535, 4.213465e+004
586, ONXX, 3.024410, 4.015049e+004
587, ONXX, 2.825478, 4.095350e+004
588, TSN, 2.944855, 4.082452e+004
589, ILA, 3.042433, 3.970604e+004
590, TSN, 3.013767, 4.050016e+004
591, TSN, 3.077458, 4.131016e+004
592, TSN, 3.077458, 4.133124e+004
593, TSN, 3.018655, 4.215786e+004
594, TSN, 3.072414, 4.276012e+004
595, TSN, 3.119671, 4.210895e+004
596, TSN, 3.078842, 4.283082e+004
597, TSN, 3.070217, 4.368743e+004
598, TSN, 3.070217, 4.384796e+004
599, TSN, 3.065713, 4.295498e+004
600, TSN, 2.944390, 4.381408e+004
601, TSN, 2.988513, 4.416217e+004
602, TSN, 3.033112, 4.434773e+004
603, TSN, 3.114024, 4.523468e+004
604, TSN, 3.114024, 4.613938e+004
605, TSN, 3.114024, 4.706217e+004
606, TSN, 3.114024, 4.768966e+004
607, TSN, 3.114296, 4.780724e+004
608, TSN, 3.060759, 4.790102e+004
609, TSN, 3.086585, 4.885905e+004
610, TSN, 3.171746, 4.836000e+004
611, TSN, 3.095748, 4.932720e+004
612, TSN, 3.137384, 4.896889e+004
613, TSN, 3.100307, 4.923346e+004
614, TSN, 3.140319, 4.906591e+004
615, TSN, 3.126680, 4.827220e+004
616, ABM, 5.179433, 4.748085e+004
617, ABM, 5.061867, 4.789896e+004
618, BEAV, 4.378105, 4.885694e+004
619, TSN, 3.011636, 4.770170e+004
620, ILA, 3.027647, 4.728929e+004
621, TSN, 2.927059, 4.823508e+004
622, TSN, 3.015758, 4.861563e+004
623, ILA, 3.138944, 4.958794e+004
624, ILA, 3.154113, 5.057970e+004
625, BEAV, 4.415107, 4.652251e+004
626, ABM, 5.143166, 4.640260e+004
627, TSN, 3.182837, 4.733065e+004
628, BEAV, 4.235351, 4.472188e+004
629, TSN, 3.251585, 4.459441e+004
630, TSN, 3.311180, 4.419170e+004
631, TSN, 3.263948, 4.417066e+004
632, TSN, 3.274024, 4.425483e+004
633, TSN, 3.215945, 4.395980e+004
634, TSN, 3.161142, 4.362326e+004
635, TSN, 3.142407, 4.332880e+004
636, ACGY, 3.475342, 4.374277e+004
637, TSN, 3.082225, 4.407764e+004
638, ACGY, 3.439751, 4.495919e+004
639, TSN, 3.047757, 4.448480e+004
640, ACGY, 3.439751, 4.537450e+004
641, ILA, 3.728146, 3.973207e+004
642, ILA, 3.302650, 4.052671e+004
643, BEAV, 3.406305, 4.133725e+004
644, BEAV, 3.406305, 4.193567e+004
645, BEAV, 3.387860, 4.277439e+004
646, BEAV, 3.387860, 4.362987e+004
647, BEAV, 3.437236, 4.450247e+004
648, BEAV, 3.437236, 4.539252e+004
649, BEAV, 3.437236, 4.630037e+004
650, BEAV, 3.437236, 4.630037e+004
651, BEAV, 3.369839, 4.722638e+004
652, BEAV, 3.369839, 4.727427e+004
653, TSN, 2.642123, 4.592643e+004
654, TSN, 2.622543, 4.577461e+004
655, TSN, 2.562621, 4.612692e+004
656, BEAV, 3.696875, 4.704946e+004
657, BEAV, 3.815596, 4.799044e+004
658, BEAV, 3.815596, 4.674931e+004
659, BEAV, 3.648873, 4.652171e+004
660, BEAV, 3.559910, 4.745214e+004
661, BEAV, 3.559910, 4.727541e+004
662, ILA, 3.368343, 4.499073e+004
663, BEAV, 3.477109, 4.519394e+004
664, ILA, 3.229572, 4.519394e+004
665, ILA, 3.278137, 4.519394e+004
666, ILA, 3.213860, 4.519394e+004
667, ILA, 3.190229, 4.487113e+004
668, ILA, 3.105335, 4.576855e+004
669, ILA, 3.105335, 4.592422e+004
670, ILA, 3.054801, 4.608043e+004
671, ILA, 3.005090, 4.700204e+004
672, ILA, 3.005090, 4.715923e+004
673, ILA, 3.189931, 4.621605e+004
674, TSN, 2.302386, 4.714037e+004
675, BEAV, 3.746099, 4.808318e+004
676, BEAV, 3.881313, 4.904484e+004
677, BEAV, 3.943229, 4.879072e+004
678, ILA, 3.025142, 4.829455e+004
679, ILA, 3.196939, 4.926044e+004
680, ILA, 3.196939, 4.959441e+004
681, TSN, 2.301081, 4.950418e+004
